"Ashok Vihar Crossing , Delhi","Ashok Vihar Crossing, Wazirpur Industrial Area, Ashok Vihar, New Delhi, Delhi 110052",28.702208,77.16577,3,200,Delhi
"Ashram , Delhi","Ashram, National Highway 2, New Friends Colony East, New Friends Colony, New Delhi, Delhi 110065, India",28.571366,77.258819,3,200,Delhi
"Atta Chowk , Delhi","Atta Chowk, Noida, Uttar Pradesh 201301, India",28.573743,77.322924,3,200,Delhi
"Auchandi Border , Delhi","Auchandi Border Bawana Road, New Delhi, Delhi 110039, India",28.820592,76.99684,5,200,Delhi
"Auchandi Village , Delhi","Auchandi, New Delhi, Delhi, India",28.822023,76.990228,3,200,Delhi
"Aurbindo Farm , Delhi","Sri Aurobindo Marg, New Delhi, Delhi",28.53813,77.198255,5,200,Delhi
"Aya Nagar , Delhi","Aya Nagar, New Delhi, Delhi, India",28.471724,77.131259,3,200,Delhi
"Aya Nagar Shiv Mandir (Bandh Road) , Delhi","Shiv Mandir, Shiv Mandir, Adarsh Enclave, Aya Nagar Extn., Sunday Market Road, Block F, Aya Nagar, New Delhi, Delhi 110047, India",28.471425,77.130126,3,200,Delhi
"Azad Market (DCM) , Delhi","Azad Market, Hathi Khana, Sadar Bazaar, New Delhi, Delhi",28.635308,77.22496,3,200,Delhi
"Azad Pur , Delhi","Azadpur, Ashok Vihar, New Delhi, Delhi 110009, India",28.703047,77.177298,3,200,Delhi
"Babarpur Extn , Delhi","Babarpur Extension, Babarpur Village, Shahdara, New Delhi, Delhi 110032, India",28.685834,77.282538,3,200,Delhi
"Badarpur , Delhi","Badarpur, New Delhi, Delhi, India",28.503961,77.301828,3,200,Delhi
"Badarpur (New MB Road) , Delhi","M B Road, Mehrauli Badarpur Road, Tughlakabad, New Delhi, Delhi 110044, India",28.505791,77.276251,3,200,Delhi
"Badli GT Road , Delhi","G T Karnal Depot, National Highway 1, Bhalswa Jahangirpuri, Jahangirpuri Industrial Area, Jahangirpuri, New Delhi, Delhi 110033, India",28.731166,77.158651,3,200,Delhi
"Badli GT Village , Delhi","G T Karnal Depot, National Highway 1, Bhalswa Jahangirpuri, Jahangirpuri Industrial Area, Jahangirpuri, New Delhi, Delhi 110033, India",28.731166,77.158651,3,200,Delhi
"Badli Rly Station , Delhi","Badli Railway Station, Bawana Road, Samay Pur, New Delhi, Delhi 110042, India",28.746392,77.137409,3,200,Delhi
"Badli Crossing Gt Road , Delhi","Grand Trunk Road, New Delhi, India",28.675875,77.294252,5,200,Delhi
"Badu Sarai , Delhi","Badusarai, New Delhi, Delhi, India",28.533897,76.972947,3,200,Delhi
"Bagrola Village , Delhi","Baprola, New Delhi, Delhi, India",28.643017,77.004626,3,200,Delhi
"Bagrola Crossing , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Bajit Pur , Delhi","Mubarak Pur Main Road, Baljit Vihar, New Delhi, Delhi 110081, India",28.701667,77.048635,5,200,Delhi
"Bajit Pur Crossing , Delhi","Mubarak Pur Main Road, Baljit Vihar, New Delhi, Delhi 110081, India",28.701667,77.048635,5,200,Delhi
"Bakar Wala JJ Colony , Delhi","JJ Colony, Bakkar Wala Colony, New Delhi, Delhi, India",28.662618,77.014704,3,200,Delhi
"Bakhtawar Pur , Delhi","Bakhtawar Pur, Bakhtawar Pur Village, New Delhi, Delhi 110036, India",28.823335,77.173679,3,200,Delhi
"Bakhtawar Pur School , Delhi","Primary School Bakhtavar Pur, Bakhtawar Pur, Bakhtawarpur, New Delhi, Delhi 110036",28.82583,77.174935,3,200,Delhi
"Bakkar Garh Border , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Bakkar Garh Crossing , Delhi","Bakkargarh Crossing, Bakargarh, New Delhi, Delhi, India",28.592247,76.885947,5,200,Delhi
"Bakouli , Delhi","Bakoli, New Delhi, Delhi, India",28.814193,77.14564,3,200,Delhi
"Bakouli Temple , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Bakouli Crossing , Delhi","Bakoli Crossing, Bakoli, New Delhi, Delhi 110036",28.811759,77.136379,3,200,Delhi
"Balak Ram Hospital , Delhi","Balak Ram Hospital, Sanjay Basti, Delhi Administration Flats, Timarpur, New Delhi, Delhi 110054",28.705045,77.223211,3,200,Delhi
"Balco Apptt , Delhi","Balco Apartments, Indraprastha Extension, IP Extension, New Delhi, Delhi 110092",28.630279,77.306672,3,200,Delhi
"Bamnoli , Delhi","Bamnoli, Dwarka, New Delhi, Delhi 110061, India",28.544703,77.032698,3,200,Delhi
"Bamnoli Crossing , Delhi","Bamnoli Crossing, Isapur Khera, Dwarka, New Delhi, Delhi 110061",28.53904,77.030272,3,200,Delhi
"Bankner , Delhi","Bankner, New Delhi, Delhi 110040, India",28.84819,77.07144,3,200,Delhi
"Baprola , Delhi","Baprola, New Delhi, Delhi, India",28.643017,77.004626,3,200,Delhi
"Baprola Crossing , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Bara Bagh , Delhi","Ram Bagh Road, New Delhi, Delhi",28.665105,77.204736,5,200,Delhi
"Bara Hindu Rao , Delhi","Bara Hindu Rao, Kishan Ganj, New Delhi, Delhi, India",28.661357,77.202431,3,200,Delhi
"Bara Tooti , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Baroda House , Delhi","Baroda House, New Delhi, Delhi 110001, India",28.617051,77.230097,3,200,Delhi
"Barola Vill. , Delhi","Baprola, New Delhi, Delhi, India",28.643017,77.004626,3,200,Delhi
"Barwala , Delhi","Barwala, New Delhi, Delhi 110039, India",28.761886,77.063642,3,200,Delhi
"Basant Village , Delhi","Basant Road, Aram Bagh, Paharganj, New Delhi, Delhi 110055, India",28.638986,77.215823,5,200,Delhi
"Bata Chowk , Delhi","Maharana Pratap Chowk, Maharana Partap Chowk, Sector 17, Gurgaon, Haryana 122001, India",28.4735,77.055457,3,200,Delhi
"Bawana , Delhi","Bawana, New Delhi, Delhi, India",28.8,77.0333,3,200,Delhi
"Bawana JJ Colony , Delhi","JJ Colony, JJ Cluster Colony, Bawana, New Delhi, Delhi 110040, India",28.805934,77.052848,3,200,Delhi
"Bawana KL Blk. , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Bazid Pur Village , Delhi","Pur VIllage, New Delhi, Delhi, India",28.753532,77.244826,3,200,Delhi
"Begampur , Delhi","Begampur, Sector 38, Rohini, New Delhi, Delhi, India",28.725579,77.0658,3,200,Delhi
"Begumpur , Delhi","Begumpur, New Delhi, Delhi, India",28.72714,77.05948,3,200,Delhi
"Beriwala Bagh , Delhi","National Capital Region, Railway Colony, Tis Hazari, New Delhi, Delhi 110054",28.666667,77.216667,3,200,Delhi
"Bhai Mati Dass Chowk , Delhi","BHAI MATI DAS CHOWK, Chhippy Wada, Chandni Chowk, New Delhi, Delhi 110006, India",28.65645,77.232123,3,200,Delhi
"Bhai Parmanand Colony , Delhi","Bhai Parmanand Colony, Mukherjee Nagar, New Delhi, Delhi 110033, India",28.712711,77.207461,3,200,Delhi
"Bhajanpura , Delhi","Bhajanpura, Shahdara, New Delhi, Delhi, India",28.700453,77.259194,3,200,Delhi
"Bhalswa Cluster , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Bhalswa JJ Colony , Delhi","JJ Colony, Jahangirpuri, New Delhi, Delhi 110033, India",28.727913,77.175477,3,200,Delhi
"Bhangel , Delhi","Bhangel Village, Sector 102, Noida, Uttar Pradesh 201304, India",28.540588,77.388425,3,200,Delhi
"Bharat Nagar Crossing , Delhi","Bharat Nagar Crossing, CV Raman Marg, New Friends Colony East, New Friends Colony, New Delhi, Delhi 110065, India",28.561776,77.272334,3,200,Delhi
"Bharat Sadhu Samaj , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Bharthal , Delhi","Bharthal, New Delhi, Delhi, India",28.547435,77.053568,3,200,Delhi
